"UF";"Municipio";"Codigo";"Ano";"Robson";"parto_induzido";"Nascidos"
"AC";"BRASILEIA";120010;2019;4;1;14
"AC";"BRASILEIA";120010;2019;4;2;16
"AC";"BRASILEIA";120010;2020;2;1;4
"AC";"BRASILEIA";120010;2020;2;2;10
"AC";"BRASILEIA";120010;2020;4;1;7
"AC";"BRASILEIA";120010;2020;4;2;10
"AC";"BRASILEIA";120010;2021;2;1;11
"AC";"BRASILEIA";120010;2021;2;2;19
"AC";"BRASILEIA";120010;2021;4;1;11
"AC";"BRASILEIA";120010;2021;4;2;6
"AC";"BUJARI";120013;2010;2;1;1
"AC";"BUJARI";120013;2010;4;1;7
"AC";"BUJARI";120013;2010;4;2;1
"AC";"BUJARI";120013;2011;2;1;2
"AC";"BUJARI";120013;2011;2;2;1
"AC";"BUJARI";120013;2011;4;1;3
"AC";"BUJARI";120013;2012;2;1;2
"AC";"BUJARI";120013;2012;4;1;1
"AC";"BUJARI";120013;2014;2;1;5
"AC";"BUJARI";120013;2014;2;2;1
"AC";"BUJARI";120013;2014;4;1;8
"AC";"BUJARI";120013;2014;4;2;2
"AC";"BUJARI";120013;2015;2;1;7
"AC";"BUJARI";120013;2015;4;1;9
"AC";"BUJARI";120013;2015;4;2;1
"AC";"BUJARI";120013;2016;2;1;2
"AC";"BUJARI";120013;2016;2;2;1
"AC";"BUJARI";120013;2016;4;1;2
"AC";"BUJARI";120013;2017;2;1;3
"AC";"BUJARI";120013;2017;4;1;5
"AC";"BUJARI";120013;2018;2;1;8
"AC";"BUJARI";120013;2018;2;2;3
"AC";"BUJARI";120013;2018;4;1;6
"AC";"BUJARI";120013;2018;4;2;1
"AC";"BUJARI";120013;2019;2;1;6
"AC";"BUJARI";120013;2019;2;2;12
"AC";"BUJARI";120013;2019;4;1;11
"AC";"BUJARI";120013;2019;4;2;11
"AC";"BUJARI";120013;2020;2;1;11
"AC";"BUJARI";120013;2020;2;2;1
"AC";"BUJARI";120013;2020;4;1;17
"AC";"BUJARI";120013;2021;2;1;10
"AC";"BUJARI";120013;2021;2;2;2
"AC";"BUJARI";120013;2021;4;1;14
"AC";"BUJARI";120013;2021;4;2;12
"AC";"CAPIXABA";120017;2010;2;1;1
"AC";"CAPIXABA";120017;2010;4;1;6
"AC";"CAPIXABA";120017;2011;2;1;2
"AC";"CAPIXABA";120017;2011;4;1;1
